Names,Meanings,Sentences,Collocations,Tags,Pronunciations,Level,Name
decay,崩壊する、腐敗する、衰退する、崩壊、腐敗、衰退,"Sugar makes your teeth decay.
Her mind is beginning to decay with age.
the decay of the steel industry",,医療,,,decay
collapse,崩れる、病気で倒れる、衰える,,,医療,,,collapse
caregiver,介護士,,,"医療, 職業",,,caregiver
canker sore,口内炎,I have a canker sore.,,医療,,,canker sore
"blood donation
blood drive","献血
献血(運動)",Let’s go to the blood drive together! 一緒に献血行こうよ,,医療,,,blood donation
"alleviate
alleviation","軽くする、緩和する、和らげる
緩和、軽減",Drinking more won't alleviate your heartbreak. これ以上飲んだからといって失恋の傷は癒えないよ,,医療,,,alleviate
additive,添加物,This soup stock contains no artificial additives. この出し汁には人口添加物は含まれていない,,医療,,,additive
ache,,,,医療,,,ache
prawn,エビ,,,生物,,,prawn
perspective,考え、意見、見方、遠近法,"From his perspective, live music is the only real music. 彼の意見では、生演奏だけが本物の音楽です
The device needs further improvement from a safety perspective. その装置は安全の面から見てさらなる改善が必要だ",,"便利, 芸術",,,perspective
savory,塩味の、しょっぱい,,,料理,,,savory
red flag,怪しい、危険信号,"The fact that he tries to hide his text messages from you is a bit of a red flag. 彼がメッセージを隠そうとしているのはちょっと怪しいよ
I know you like him, but the way he drinks alcohol is definitely a red flag. Be careful. 好きだとわかってるけど、彼の酒癖は本当に良くないよ。 気をつけてね
Fewer and fewer people are visiting our homepage. - That’s a red flag. We need to take some action.",,"便利, 良さ",,,red flag
guinea pig,実験台,,,便利,,,guinea pig
101,〜の基本,"Share trading 101 is to buy low, sell high. 株トレードの超基本は、安く買って高く売ることだ",,便利,,,101
"win-win
lose-lose","双方に利益がある
双方とも損な","The agreement is a win-win for everyone. その合意は全員にとってWin-Winだった
Flexible and shorter work weeks are a win-win situation for both the employee and employer. 柔軟で短い働き方は労働者にとっても雇用主にとってもWin-Winだ
We will be in a lose-lose situation.",,便利,,,win-win
what it takes,必要なもの、資質、要件,Do you have what it takes to be an engineer? あなたはエンジニアになるために必要なものを持っていますか？,,便利,,,what it takes
ways and means,,Newspapers have ways and means of getting hold of secret information.,,便利,,,ways and means
version,,,,便利,,,version
"ubiquitous
ubiquitously
ubiquity","どこにでもある
どこにでも
どこにでもあること","Cashless payment is so ubiquitous in China, some places don't even accept cash.
This Christmas song is heard ubiquitously in November and December.",,便利,,,ubiquitous
trigger,引き起こす、きっかけとなる、原因、理由、引き金,"The incident could trigger a civil war.
Research has shown that lack of sleep and other triggers such as stress cause a deficiency of the brain chemical dopamine. 研究では睡眠不足やストレスなどの要因がドーパミンの欠乏を引き起こすとされている
I'm worried that increasing prices will trigger a lot of unforseen consequences. 価格の上昇が予期せぬ結果を招かないか心配だ",,便利,,,trigger
trial and error,試行錯誤,,,便利,,,trial and error
trial,試行、試用、試験、裁判,"My free Netflix trial expires tomorrow, but I'm still not sure if I want to pay for a subscription.
I can't hekp watching when celebs go on trial. 芸能人の裁判があったら目が離せないんだよね",,便利,,,trial
trade-off,トレードオフ,"It is very beneficial to work for yourself, but there are trade-offs.
There is a trade-off between cost and perfection.
There is a trade-off between doing the job accurately and doing it quickly.
We shall never make the trade-off between the quality of our merchandise and cheap labor.
She said that she'd had to make a trade-off between her job and her family.",,便利,,,trade-off
tough call,難しい決断、難しい選択,"It was a tough call, but I decided to let Tony go. 難しい決断でしたが、トニーを解雇することにしました",,便利,,,tough call
tool,道具、手段,"There are so many study tools that you can download for free.
The internet has become a vital tool for many artists.
The internet can be a powerful teaching tool.
Words are the most important tools of a politician.",,便利,,,tool
token,,,,便利,,,token
tier,段、層,,,便利,,,tier
thesis,,,,便利,,,thesis
the quickest route,最短の方法,The quickest route to learning English is going abroad.,,便利,,,the quickest route
takeaway,重要なポイント、学び,The biggest takeaway for me was the importance of not being afraid to make mistakes. 私にとっての一番の学びは間違いを恐れないことの重要性でした,,便利,,,takeaway
tactic,戦術、戦法,"It's time to try a change of tactic.
They tried all kinds of tactics to get us to go.
We use a variety of tactics to make learning fun.",,便利,,,tactic
"surround
surrounding","囲む、周囲、環境
周囲の、環境","I've never worried about anything because I surround myself with people I trust.
We enjoyed exploring both the city and the surrounds of Sydney.",,便利,,,surround
stride,大股の一歩、歩幅、進歩、向上、大股で歩く,Making your stride shorter when you run might improve your speed.,,便利,,,stride
"stimulate
stimulating
stimulant
stimulation
stimulus","刺激する
刺激的な
刺激、刺激物
刺激
刺激物","Her lectures were always stimulating and covered a variety of subjects.
stimulating effect 刺激的な効果・作用
Coffee and tea are mild stimulants.
Books provide children with ideas and a stimulus for play. 本は子どもたちにアイデアや遊びの刺激を与えてくれます",,便利,,,stimulate
state,,,,便利,,,state
stance,意見、立場,"I think we need to take a more positive stance. 私たちはもっと前向きなスタンスを取るべきだ
What is the newspaper's stance on the war?
They are beginning to adopt a more critical stance.",,便利,,,stance
spot,,,,便利,,,spot
span,(持続)期間、全長,We were able to get to the top of the mountain in a relatively short span of time.,,便利,,,span
set,,,,便利,,,set
session,ある活動の時間,"We'll have a Q&A session at the end of this workshop, so please bear with me.",,便利,,,session
segment,,This is my favorite segment of the show. これ、この番組の好きなコーナーなんだ,,便利,,,segment
sector,,,,便利,,,sector
section,部分、区画、階級、部課、部門,"I asked for a seat in the non-smoking section. 禁煙席を頼んだのですが
This is a business section of Tokyo. ここは東京のビジネス街だ
The disease spread through the poorer sections of the city. その病気は貧困層を通して広まった
The bookcase can be taken apart and stored in sections. この本棚はバラバラにして保管できる",,便利,,,section
scope,機会、,"There is limited scope for creativity in my job. 私の仕事は創造性を発揮する場が限られています
These courses give students more scope for developing their own ideas.
The police are broadening the scope of their investigation. 警察は捜査の範囲を広げている",,"便利, 論理",,,scope
scenery,,,,便利,,,scenery
scenario,シナリオ、自体,"worst case scenario 最悪のシナリオ
draw a scenario",,便利,,,scenario
"scale
scale up/down","規模、はかり、うろこ
規模を増やす/減らす","We don’t yet know the scale of the problem.
My company is scaling up its operations in Western Asia.",,便利,,,scale
sample,,,,便利,,,sample
room,,,"improvement
growth
negotiation",便利,,,room
"relevant
relevance","適切な、関係のある
関連性","I want to get a new degree, but I don't think it's really relevant to my job.",,便利,,,relevant
recipe,方法、秘訣,"What's her recipe for success?
To live every day to the full is a recipe for happiness.",,便利,,,recipe
"prospect
at the prospect of A
prospective","可能性、見込み、将来性、眺望
〜を期待して、〜を前にして
見込みのある、予想される","Travelling alone around the world is a daunting prospect. 一人で世界一周するのは大変なことです
The children were excited at the prospect of going to Disneyland. 子どもたちはディズニーランドに行けそうだと聞いて興奮した",,便利,,,prospect
process of elimination,消去法,"If I go by process of elimination, 消去法で考えるなら
I solved the problem by a process of elimination.",,便利,,,process of elimination
"proceed
procedure","始める、継続する、進める、進む
手順、やり方、流儀","We're not sure whether we still want to proceed with the sale. その売却の話を前に進めるかどうか迷っています
We now proceed to the main issue. これより本題に入ります
I will remember your advice and proceed accordingly.
What is the procedure for applying for a visa? どういう手順でビザを申請するのですか？",,便利,,,proceed
privilege,,,,便利,,,privilege
principle,原理、行動原理、主義、仕組み、考え方,"It’s against my principles to accept gifts from clients. お客から物をもらうことは私の主義に反しています
It’s against my principles to eat meat. お肉を食べることは私の主義に反しています
The general principle is that education should be available to all children up to the age of 16. 一般的な原則として、教育は16歳までのすべての子どもに提供されるべきであると考えています
The project worked on the principle that each person’s experience was equally valuable. このプロジェクトはひとりひとりの経験が平等に価値のあるものとして進められました
Throughout this time, he stuck to his principles and spoke out against injustice. この間、彼は自分の信念を貫き、不正に対して発言してきました
He doesn't invest in the arms industry on principle. 彼は原則として、武器産業には投資しない",,便利,,,principle
prerequisite,前提条件の、必須の、必修の、必要条件,"prerequisite subject 必修科目
A knowledge of Chinese is a prerequisite for this job. この仕事には中国語の知識が必須です",,便利,,,prerequisite
prejudice,(否定的な)先入観,"He had to battle against prejudice to get a job.
Laws against racial prejudice must be strictly enforced.",,便利,,,prejudice
plateau,安定期、進歩・変化が見られない段階,"I feel like I’m hitting a plateau. My English isn’t improving at all lately.
Hitting a plateau means you’re getting closer to your goal. Don’t stop and keep going.
How did you break through your plateau?",,便利,,,plateau
pillar,柱,"She is a pillar of strength in a crisis.
Education and investment are the twin pillars on which a successful economy is built.",,便利,,,pillar
"phenomenon
phenomenal","現象
驚異的",The popularity of K-Pop gourps in Japn has become a big social phenomenon.,,"便利, 良さ",,,phenomenon
perks,,,,便利,,,perks
pattern,パターン、様式、型、模範,"Wages in both sectors have followed a similar pattern.
The murders all seem to follow a similar pattern.
There is no set pattern for these meetings. この会議に決まったパターンはありません
This system sets the pattern for others to follow. このシステムは他の人が従う良い例になっている?",,便利,,,pattern
path,,,,便利,,,path
overview,,,,便利,,,overview
overhaul,徹底的に見直す、総点検する、見直し、総点検,"My watch needs to be overhauled, but I don't know where to get it done.",,便利,,,overhaul
outline,輪郭、概要、重要な部分、大筋、要点を述べる、簡潔に述べる,"He gave me the outline of the project. 彼はそのプロジェクトの概略を話してくれました
I have an outline for my speech, but I'll mostly adlib. スピーチの大筋は考えてありますが、私は大体アドリブで話すでしょう
I've just outlined my views here. 私の見方をここにちょっとまとめてみました",,便利,,,outline
oriented,,,,便利,,,oriented
offset,相殺する、埋め合わせる,"This will offset the loss. これで損失を埋め合わせることができる
Gasoline prices have been raised in order to offset higher cost of oil. 石油高騰を相殺するために、ガソリンの値段は上げられた",,便利,,,offset
novelty,珍しさ、目新しさ、珍しいもの,Tourists are still a novelty in this country. この国では観光客はまだ珍しい存在なんだ,,便利,,,novelty
notion,考え、概念,"She had only a vague notion of what might happen.
He has no notion of the difficulty of the problem.
I have to reject the notion that greed can be a good thing.
She dismissed the very notion of compromise. 彼女は妥協という概念(考え方)を捨てた",,便利,,,notion
niche,適所,"She feels that she has her own niche in the company.
He found his niche in politics. 彼は政治の世界で自分の適所を見つけた
He spotted a niche in the market. 彼は市場の中で適所を見つけた",,便利,,,niche
movement,動き、動向、運動,"There are movements to try to ban TV advertising. テレビCMを禁止にしようという動きがある
There's been no movement in the dispute since Thursday. 木曜日以来その紛争に動きはない
The authorities have made no move to resolve the conflict. 当局は紛争の解決に向けて何の動きも見せない",,便利,,,movement
motif,,,,便利,,,motif
mishap,小さなアクシデント、不運,,,便利,,,mishap
mindset,心構え、考え方、態度、心情,"The company seems to have a very old-fashioned mindset.
The book accurately captures the mindset of a teenage girl. その本は10代の女の子の心を正確に捉えている
I think having the mindset to take good care of old things is great. 古いものを大切にする心はすばらしいと思います",,便利,,,mindset
merit,,,,便利,,,merit
"mental
mentally
mentality","精神の、心の
精神的に、心の中で
精神性、性格、考え方","I really don't have the mental capacity to discuss it. それについて議論する余裕が本当にない
English studies can be a long journey, so you need to be mentally prepared.",,便利,,,mental
"mechanism
mechanics","メカニズム、仕組み、構造
機械学、機構、(機械的な)仕組み","There are a few mechanisms that we can leverage to fix the economy, but the longer we wait, the less effective they'll be. 経済を立て直す仕組みはたくさんあるけれど、待てば待つほど効果は小さくなるよ",,便利,,,mechanism
mainstream,,,,便利,,,mainstream
loophole,逃げ道、抜け穴,People who don't want to pay tax will exploit any loophole.,,便利,ˈluːphəʊl,,loophole
lesson,教訓,,,便利,,,lesson
landscape,,,,便利,,,landscape
landmark,目標、歴史的建造物、画期的な出来事、重大な、画期的な,I think this has the potential to be a landmark case. これは画期的なケースになる可能性があると思います,,"便利, 良さ",,,landmark
know-how,知識や経験,We need skilled workers and technical know-how.,,便利,ˈnəʊ haʊ,,know-how
irrelevant,無関係な,,,便利,,,irrelevant
"intent
intention
intentional
intentionally","意図、目的、含意、一点を見つめた、集中した、意思の固い
意図、目的
故意の、意図された
故意に、わざと","by intention わざと
I have no intention of going to the wedding.
He left the U.S. with the intention of traveling in Africa. アフリカを旅するつもりで、アメリカを発った
I have every intention of paying her back what I owe her. 借りたものは必ず返すつもりです
It was not my intention that she should suffer. 彼女が苦しむのは私の本意ではありません
The original intention was to devote three months to the project. 当初は3カ月間、このプロジェクトに専念するつもりだった
I'm sorry I left you off the list—it wasn't intentional.
She would never intentionally hurt anyone.",,"便利, 未来",,,intent
ingredient,材料、具、成分、要素,Dark chocolate is the secret ingredient that I add when I make carry.,,便利,,,ingredient
indicator,指標,"The economic indicators are better than expected.
These atmospheric waves are a reliable indicator of weather changes.
The stock market is seen as a leading indicator of economic growth.",,便利,,,indicator
indication,兆候、兆し,"I'm sure Jim was nervous when he was making that speech, but he gave no indication. ジムはスピーチで緊張してたはずなんだけど、そんな感じはしなかった",,便利,,,indication
index,索引、指標,"Try looking up ""heart disease"" in the index.
The number of new houses being built is a good index of a country's prosperity.
The index only includes companies that are based in the UK.",,便利,,,index
inconsistent,一貫性のない、矛盾している,"He made an inconsistent comment. 彼は一貫性のない意見を言った
What he says is inconsistent with what he does. 彼の言うことはすることと矛盾している",,便利,,,inconsistent
hybrid,,,,便利,,,hybrid
hub,中心地、拠点、重要な場所,"Is Osaka the hub of the Kansai region?
The kitchen was the hub of family life.",,便利,,,hub
hindrance,妨害、障害物,"To be honest, she was more of a hindrance than a help.
Poverty is not a hindrance to success.
The high price is a major hindrance to potential buyers.",,便利,,,hindrance
highlight,,What are the highlights of this product compared to the others?,,便利,,,highlight
harmonization,統一、調和、協調,"The harmonization of all our different systems is taking a long time, but it will be worth it.",,便利,,,harmonization
greener pastures,今よりも良い場所・環境,,,便利,,,greener pastures
gray area,グレーゾーン,There is a lot of gray area in workplace romance. 職場恋愛には多くのグレーゾーンがある,,便利,,,gray area
function,,,,便利,,,function
friction,摩擦、あつれき,There was always a lot of friction between the two board members. その二人の役員の間には常に大きなあつれきがあった,,便利,,,friction
frame,,,,便利,,,frame
formula,公式、方法、秘訣,"What is their formula for success?
Each of his novels follows the same successful formula.
All the patients were interviewed according to a standard formula. すべての患者は、標準的な方式でインタビューを受けました",,便利,,,formula
"flaw
flawless","傷、ひび、欠点
傷のない",,,便利,,,flaw
fine line (between A and B),(AとBの)微妙な差,*There's a fine line between oranges and mikan.,,便利,,,fine line (between A and B)
feedback,フィードバック,"I'd appreciate some feedback on my work.
We need both positive and negative feedback from our customers.
I've had a lot of very constructive feedback from the students about this.
**It's really important to receive feedback from who I'm talking with to confirm if I have conveyed what I wanted to say.",,便利,,,feedback
"fast-track
fast track","早く進める、通常より早い
出世街道、通常より早い道","We’re going to fast-track the production.
She's clearly on the fast track to becoming a partner.","procedure
system",便利,,,fast-track
failure,,,,便利,,,failure
extent,広さ、大きさ、範囲、程度、規模,"We don't know the extent of his injuries at this point. 現時点では怪我の程度は分かっていません
I was amazed at the extent of his knowledge.
It is difficult to assess the full extent of the damage. その被害の全容を把握するのは難しい
She was exaggerating the true extent of the problem. 彼女は本当の意味で誇張していたのだ
At its greatest extent the empire comprised most of western France. その帝国は、最大時にはフランスの西部分をほぼ全て占めていた",,便利,,,extent
"execept (for)
exception","〜以外は、〜を除いて
例外","I can eat anything except green peas.
Everyone came to the meeting except for John because he was on a business trip.
I like him except he's always late.",,便利,,,execept (for)
event,,,,便利,,,event
"enhance
enhancement","高める
強化、増強、増大","The course helped me enhance my ability to think logically.
Let's make some enhancements to our website to increase the number of visitors.","ability
quality
performance
efficiency
attractiveness
reputation",便利,,,enhance
emphasis,重点,The emphasis on Europe was quite deliberate. ヨーロッパを強調したのは、かなり意図的なものだ,,便利,,,emphasis
ego,エゴ,,,便利,,,ego
draw the line,線引き,"*Some universities in the U.S. are called college, but I don't know how they draw the line. アメリカではuniversityって言ったりcollegeって言ったりするけど、線引きはどこなのかな",,便利,,,draw the line
disposition,性格、特性,,,便利,,,disposition
discipline,分野、しつけ、訓練、規律,"What discipline of science did you specialize in? 科学のどの分野が専攻だったの？
The only way I'm going to pass this exam is if I'm disciplined enough to stick to my study plan. この試験に合格する唯一の方法は、自分を律して計画通り勉強をやり抜くことなんだ",,便利,,,discipline
dilemma,ジレンマ、選択に悩んでいる状態,"After years of recession, the company was in a dilemma over its future. 長年の不況で、会社の将来にジレンマを抱えていたのだ
Women may still be faced with the dilemma of choosing between jobs and families. 女性は、仕事と家庭のどちらを選ぶかというジレンマに今も直面しているのかもしれません",,便利,,,dilemma
"determine
determined
determined to do
determination
determinant","決定する、確定させる
意志の強い、断固とした
〜すると決心している
決定、決意、決心
決定要因","I'm determined to study hard and pass the exam. 一生懸命勉強して試験に合格すると決めたんだ
Sypply and demand are the main deteminants of price. 需要と供給こそが価格を決定する主な要因だ",,便利,,,determine
criterion<criteria>,基準、判断基準,"What criteria are you using to decide who will get the job?
What criteria are used for assessing a student's ability?
She failed to meet the strict selection criteria.",,便利,,,criterion<criteria>
core,中心、核となる部分,"Dutch paintings form the core of the collection. コレクションの中心となるのはオランダの絵画です
These ideas formed the core of his philosophy. これらの考えは彼の哲学の軸となった
We want to get to the core of the problem. 問題の核心に迫りたいと思います",,便利,,,core
"contradict
contradiction
contradictory","矛盾する、逆らう、否定する
矛盾
矛盾した","Recent experiments seem to contradict earlier results.
You've just contradict yourself. 自分の言ったことと矛盾してますよ
The two stories contradict each other.
You shouldn't contradict your boss. 上司に逆らわない方が良いよ
All evening her husband contradicted everything she said.
His explanation was full of lies and contradictions. 彼の説明は嘘と矛盾だらけだった
She pointed out the contradiction between Wilson's statements and his votes in the Senate. 彼女は、ウィルソンの発言と上院での投票に矛盾があることを指摘した
His words and actions are contradictory. 彼の言うことと行動は矛盾している
You want to be famous, but you don't want to do social media? That's a bit contradictory. 有名になりたいけどSNSはやりたくないって、少し矛盾していない？",,便利,,,contradict
context,,,,便利,,,context
"consequence
consequent
consequently","結果、重要性
結果として生じる、当然の
それによって、その結果として","I lost a lot of money as a consequence of speculative trading.
Our use of harmful chemicals and the consequent damage to the environment is a very serious matter.
All the shops were closed, and consequently we couldn't buy any food.
I spent most of my money in the first week and consequently had very little to eat by the end of the holiday.",,便利,,,consequence
"conduct
conduct 人 to A","行為、振る舞い、行う、案内する、運営する
〜へ〜を案内する","This is not the conduct of a gentleman. これは、紳士のすることではありません
The teacher gave the student detention for his bad conduct in class. 先生は、その生徒が教室で悪い事をしたので居残りをさせた
We'll conduct the interviews in my office. 面接は私のオフィスで行います
An English-speaking guide conducted us into the temple. 英語を話せるガイドが私たちをその寺院の中に案内してくれました",,便利,,,conduct
conception,概念、考え、構想,"I had a rather romantic conception of life in the country. 私は、田舎での生活にかなりのロマンを感じていました
He has no conception of how difficult life is if you're unemployed. 彼は、失業者の生活がどれほど大変かということを知らない
I had no conception that it was such a complex matter. それがそんなに複雑な事だとはまったく知らなかった
The plan was brilliant in its conception but failed because of lack of money. その計画は構想段階では非常に良かったが、資金不足により失敗した",,便利,,,conception
concept,抽象的な概念、発想,"The class will help you understand the basic concepts of physics. この授業では物理学の基本的な概念を学べるよ
The idea of a soul is a religious concept. 魂という考え方は宗教的な概念だ",,便利,,,concept
compromise,妥協する、妥協点,We compromised with them on the matter. 我々はその件で彼らと妥協した,,便利,,,compromise
comfort zone,ぬるま湯、無理のない範囲,"You have to go out of your comfort zone and go to different countries. ぬるま湯から出て外国に行ってみた方が良いよ
Please do that within your comfort zone. 無理のない範囲でお願いします",,便利,,,comfort zone
"combine
combination",混ぜ合わせる、結びつける、組み合わせる,"I really like how this chef combines different herbs and spices to make unique flavors.
You can easily combine text with graphics using this software. このソフトウェアを使えば、テキストを画像と簡単に結合させることができる
A combination of tiredness and boredom caused me to fall asleep.
Strawberries and cream - a perfect combination.",,便利,,,combine
climate,気候、風潮、状況、風向き,"Tomato flavour varies depending on climate.
There is no money for children's centres in the current climate. 今の状況では、子どもセンターにお金はありません
There's been a change in the climate of opinion. 意見の風向きが変わってきました",,便利,,,climate
circumstance,,,,便利,,,circumstance
category,,,,"便利, 論理",,,category
capacity,,"The theatre has a seating capacity of 2 000.
She has an enormous capacity for hard work.",,便利,,,capacity
"breakthrough
make a breakthrough","飛躍的進歩
飛躍的な進歩を遂げる、突破口を開く","My gut tells me that we're about to make a breakthrough, so don't give up just yet. もう少しで突破口を開ける気がするから、まだ諦めないで",,便利,,,breakthrough
breadth,幅、広がり,The breadthe and depth of knowledge hea has is just amazing. 彼の知識の幅と深さは素晴らしいですね,,"便利, 論理",,,breadth
boundary,境界,"Set boundaries and don't cross them. 限度を定め、それを超えないこと
I have my boundaries. 自分の世界を持っている、それ以上は話せない",,便利,ˈbaʊndri,,boundary
borderline,不明確な、微妙な、ギリギリの、どちらともいえない、グレーな、切れ目、境界、国境,"The referee’s decision was borderline.
In borderline cases teachers will take the final decision, based on the student's previous work. ボーダーライン上の場合は、生徒のこれまでの学習成果をもとに、教師が最終的に判断します
borderline between dream and reality 夢と現実の間
I was on the borderline between a first- and a second-class degree.
She slipped over the borderline into sleep. 境界線を超えて眠りについた(=眠気に負けて眠ってしまった？)",,便利,,,borderline
black and white,はっきりしている,"Using this software, the profitability of each product will be black and white.",,便利,,,black and white
baseline,基本線、基準値,We used the sales figures from last year as a baseline for this year's sales target.,,"便利, 論理",,,baseline
"balance
unbalance","釣り合う、埋め合わせをする、比較して考える
釣り合わない、バランスの取れていない","The loss and the profit balance each other out. 損失と利益がお互い釣り合っている
Our income doesn't balance with our expenses. 私たちの収入は支出と釣り合っていない
Job losses in manufacturing were balanced by job increases in the service sector. 製造業での雇用減少とサービス業での雇用増加のバランスがとれています(サービス業の増加が製造業の減少の埋め合わせをしている)
His generosity balances his rough behavior. 彼は乱暴な振る舞いをする代わりに寛大である(寛大さは乱暴な振る舞いの埋め合わせをしている)
Your knowledge is so unbalanced.",,便利,,,balance
angle,,,,便利,,,angle
"analogy
analogous","比喩、類似点、類推
似ている","There are no analogies with any previous legal cases.
The lecture drew an alanogy between a computer and a human brain.",,便利,,,analogy
"adverse
adversity","逆らうような、不利な
逆境、災難、不運","Lack of money will have an adverse effect on our research programme.
The new proposal should help those in adverse circumstances.
He overcame many personal adversities.",,"便利, 良さ",,,adverse
advent,出現、登場、到来,The advent of cheap flights over the last few years has really changed where I go on vacation. 格安航空の出現によって私が休暇で行く場所が大きく変わった,,便利,,,advent
"adequate/inadequate
adequately/inadequately
adequacy","十分な、適切な/不十分な
十分に、適切に/不十分に
妥当性、適切さ","Cindy's work is adequate, but I think it has the potential to be exceptional.",,便利,,,adequate/inadequate
a way around A,〜を回避する方法,"The former CEO of Twitter, Parag Agrawal, thought he was going to get 42 million just for being fired. Instead, Elon Musk found a way around that part of the contract and he will get a grand total of $0.",,便利,,,a way around A
never mind,〜どころか,"It seems to be getting faster, never mind stopping! 止まるどころか早くなっているらしいです
Never mind decreasing, the number of people infected in Japan just continues to increase! 日本では感染者は減るどころか増え続けています",,意見,,,never mind
let alone,〜どころか、〜なのは言うまでもなく,"He doesn't want to see anyone, let alone me. 彼は、私はもちろんのこと、誰とも会いたがらない
He's never even held a tiny baby let alone changed a nappy. 彼女は小さな赤ん坊を抱いたことすらありません。ましてオムツを替えたことなんて
I don't even have friends, let alone a partner. 私にはパートナーどころか友達もいません",,意見,,,let alone
You can't go wrong with A,Aを選べば間違いない,,,意見,,,You can't go wrong with A
what's done is done,終わったことは仕方がない,,,意見,,,what's done is done
to the contrary,反対に,"Even though many experts say that fasting is not goot for your health, the researcher found evidence to the contrary. 多くの学者が断食は体に悪いって言ってるけど、その研究者はそれとは反対の証拠を見つけたんだ",,意見,,,to the contrary
"this can be said to (pretty much) anything (, but)",何に対しても言える,,,意見,,,"this can be said to (pretty much) anything (, but)"
think backward,逆算する、後ろから考える,I try to make plans by thinking backwards from my goal.,,意見,,,think backward
There are X main types of A,〜を大きく分けると〜種類になります,,,意見,,,There are X main types of A
tell you what,じゃあこうしよう,"Tell you what, let's stay here another day.
I tell you what, we’ll pay for your plane ticket.",,意見,,,tell you what
seeing from another point of view,見方を変えれば,,,意見,,,seeing from another point of view
see oneself (doing[as A]),,"I can’t see myself getting married any time soon. 近々結婚することは想像できないね
Where do you see yourself living when you retire? 定年退職する頃はあなたはどこに住んでいると思いますか？
I see myself as an easygoing person with a sense of humor. 私は自分のことをおおらかでユーモアがある人だと思っています",,意見,,,see oneself (doing[as A])
"regard
regard A as B","みなす
AをBとみなす","They regard people outside their own town with suspicion. 彼らは自分の町以外の人間は疑ってかかる
He regards himself as a patriot. 彼は自分のことを愛国者だと思っている",,意見,,,regard
not sure whether I want to do,〜するか迷っている?,"Before we proceed with our conversation, I'm interested in knowing a little more about you. 話を進める前に、もう少しあなたのことについて教えてほしいのですが",,意見,,,not sure whether I want to do
make assumptions,決めつける、推測する,I try not to make assumptions about people based on their appearance. 私は外見で人を決めつけないようにしています,,意見,,,make assumptions
last but not least,最後になりますが,"I would like to thank my publisher, my editor, and, last but not least, my husband.
Last but not least, I’d like to express my appreciation for your support.",,意見,,,last but not least
keep a close[cautious] eye on A,〜に注視する、注目する,The President's foreign policy team are keeping a close eye on events.,,意見,,,keep a close[cautious] eye on A
in the view of A,〜を考慮すると,,,意見,,,in the view of A
"in the same way as[that] -
in the same way as A","〜と同じように
〜と同じように","I treated the matter in the same way as she did. 彼女と同じようにその問題を扱った
Cases like this cannot be treated in the same way as a robbery. このような事件を強盗と同列に取り扱うわけにはいかない",,意見,,,in the same way as[that] -
in the end,結局のところ,,,意見,,,in the end
in one's capacity as A,〜という立場で,"I am speaking in my capacity as a father, rather than as a teacher.",,意見,,,in one's capacity as A
in a nutshell,簡単に言えば、簡潔に,"This three-minute video explains the history of America in a nutshell, so it's definitely worth a watch even if you don't have much time.",,意見,,,in a nutshell
if we are only talking about A,〜に限って言えば,,,意見,,,if we are only talking about A
I'm willing to bet -,賭けてもいい,"As a kid, I'm willing to bet you got spanked a lot. 君は子供の頃よくお尻を叩かれたでしょう",,意見,,,I'm willing to bet -
"I might be biased, but -",バイアスがかかっているかもしれませんが、偏見かもしれませんが,I might be biased but I think you should study abroad in LA.,,意見,,,"I might be biased, but -"
I don't like or dislike it,好きでも嫌いでもない,,,意見,,,I don't like or dislike it
hunch,予感、勘、直感、予感がする、かがむ、(腰・肩などを)丸める,"It seemed that the doctor's hunch had been right.
My hunch is that the are still in the area.
I had a hunch (that) you'd be back.
He hunched his shoulders and thrust his hands deep into his pockets.",,"便利, 動作, 意見",,,hunch
"for one thing (, for another)",一つには,"I like animals. For one thing, they are so cute ; for another, they always make me happy. 私は動物が好きだ。一つの理由として可愛いことが挙げられる。そしてもう一つの理由は、彼らはいつも私を幸せにしてくれるからだ
I want to do what I like. For one thing, I can work harder if I have a job that I like.
私は好きなことをやりたい。一つの理由として、好きなことであれば頑張ることができるからだ",,意見,,,"for one thing (, for another)"
"deserve
(well-)deserved",,"I think you deserve a nice meal because you've been studying so hard.
They didn't deserve to win.
Several other points deserve mentioning. その他にも、いくつか特筆すべき点があります
Mr. White has a deserved reputation for being a scientist.
She is working hard and doing a good job, and her promotion is well deserved. 
I'm taking a well-deserved break after a very busy week.",,"意見, 良さ",,,deserve
"debate
debatable","論争、議論、討論、議論する、熟考する
議論の余地がある","I'm not good at winning debates, so I'll take the minutes.
I'm debating on what to eat for dinner. 私は、夕飯に何を食べようか考え中です
It's debatable whether singing is a learnable skill or not.
It is debatable as to whether this new medicine actually works.",,意見,,,debate
come as a result of A,〜の結果である、〜の結果として起こる,This unprecedented storm may come as a result of the intense heat wave. この未曾有の暴風雨は、猛暑の結果としてもたらされるのかもしれない,,"意見, 論理",,,come as a result of A
"coherent / incoherent
coherently / incoherently
coherence / incoherence
cohere","筋の通った、一貫性のある / 辻褄の合わない、一貫性のない
一貫性 / 一貫性のなさ
辻褄が合う、整合性がある","The president has not presented a coherent plan for dealing with it.
She was struggling to organize her ideas into a coherent whole.
He is able to speak coherently about politics.
I can't beliece you anymore. There is no coherence between what you're saying and what you're doing.
This view does not cohere with their other beliefs.",,"便利, 意見","kəʊˈhɪrənt
ˌɪnkəʊˈhɪrənt/ˌɪnkəʊˈherənt

kəʊˈhɪr",,coherent / incoherent
